name,WKT,group
Vue Cinema London - Finchley Road,"POLYGON((-0.174616361996435 51.55155582817944, -0.173115130513838 51.54789587086802, -0.19281426329443124 51.53809081473162, -0.198940619500518 51.53807216706959, -0.21031565921566225 51.55501387287788, -0.20639408064181644 51.555750630415154, -0.174616361996435 51.55155582817944))",Cinema
Vue Cinema London - Fulham Broadway,"POLYGON((-0.19088940241749866 51.49490343280557, -0.1748125735782517 51.467640107915564, -0.19298819857202937 51.46733126434729, -0.21806063962525193 51.47969156211456, -0.2201070534944079 51.48636445921368, -0.20035365449300024 51.49455593704665, -0.19088940241749866 51.49490343280557))",Cinema
Vue Cinema London - Islington,"POLYGON((-0.09663636929543899 51.52867963446224, -0.10751124573468898 51.52453829438843, -0.11725233516425873 51.53093992012503, -0.11392659695465163 51.538300669173495, -0.11194130201841612 51.53791641599207, -0.09452517497012052 51.532099536020446, -0.09663636929543899 51.52867963446224))",Cinema
Vue Cinema London - Piccadilly,"POLYGON((-0.13926710134267423 51.50350706185124, -0.1423575189563926 51.51070008481176, -0.13297112352478993 51.50965150276695, -0.12868364135702312 51.502560415560474, -0.13926710134267423 51.50350706185124))",Cinema
Vue Cinema London - Shepherd's bush,"POLYGON((-0.20944458191193074 51.50827243768297, -0.20035365449300024 51.49455593704665, -0.2201070534944079 51.48636445921368, -0.22698008631489935 51.48844185675628, -0.23731712356198018 51.50120157013979, -0.20944458191193074 51.50827243768297))",Cinema
Vue Cinema London - West End (Leicester Square),"POLYGON((-0.131067531764098 51.51174220101392, -0.12346969826227096 51.5144459783941, -0.12132681057211303 51.511520310090546, -0.12964707940411382 51.510984978319804, -0.131067531764098 51.51174220101392))",Cinema
Vue Cinema London - Westfield (Shepherd's Bush),"POLYGON((-0.23808655469375659 51.50179314343975, -0.2154033529528005 51.51349659530432, -0.20946417918598048 51.50848160109705, -0.20944458191193074 51.50827243768297, -0.23731712356198018 51.50120157013979, -0.23808655469375659 51.50179314343975))",Cinema
Vue Cinema London - Westfield Stratford,"POLYGON((0.003949707931543704 51.52394602130146, -0.013853076001494281 51.55130872771425, -0.006350999999999999 51.54883567221574, -0.005922049376073402 51.548665521920775, -0.005518548235527476 51.548472741328524, -0.0051435674656824274 51.54825879761571, -0.004799960896616358 51.54802531902317, 0.0011220391033836415 51.543522619023165, 0.0014316564182048218 51.543271382463956, 0.0017049281040632772 51.5430043, 0.004492628104063277 51.5398193, 0.004727474398423669 51.53953840429011, 0.009083874398423668 51.534022604290115, 0.009278507979181845 51.53373003312027, 0.009431447567265269 51.53342801313372, 0.009541529200061172 51.53311884288493, 0.010849629200061172 51.52872344288493, 0.01172518158916776 51.52475616008829, 0.003949707931543704 51.52394602130146))",Cinema
Everyman Belsize Park,"POLYGON((-0.14446281535446276 51.55669888105252, -0.1590333198313902 51.54201558837238, -0.173115130513838 51.54789587086802, -0.174616361996435 51.55155582817944, -0.16060717140868008 51.56435274047133, -0.1489668437270571 51.566539640209356, -0.14446281535446276 51.55669888105252))",Cinema
Barbican Cinemas,POINT (-0.092982 51.5209865),Cinema
BFI IMAX,POINT (-0.1136318 51.50487889999999),Cinema
BFI Southbank,POINT (-0.1157983 51.50660939999999),Cinema
Castle Hackney,POINT (-0.0432945 51.55129609999999),Cinema
Cineworld London Leicester Square,POINT (-0.1304653 51.5108106),Cinema
Cineworld The O2 Greenwich,POINT (0.0044716 51.5031924),Cinema
Cineworld Wandsworth,POINT (-0.1933645 51.45393780000001),Cinema
Cineworld Wembley,POINT (-0.2834149 51.5568719),Cinema
Cineworld West India Quay,POINT (-0.022363 51.5078639),Cinema
Cineworld Wood Green,POINT (-0.1076152 51.5943418),Cinema
Clapham Picturehouse,POINT (-0.1381214 51.46249779999999),Cinema
Crouch End Picturehouse,POINT (-0.1208803 51.5816442),Cinema
Curzon Aldgate,POINT (-0.0690075 51.5137742),Cinema
Curzon Bloomsbury,POINT (-0.1231058 51.5241103),Cinema
Curzon Camden,POINT (-0.143483 51.54224989999999),Cinema
Curzon Hoxton,POINT (-0.0837518 51.5288916),Cinema
Curzon Mayfair,POINT (-0.1479457 51.5065673),Cinema
Curzon Sea Containers,POINT (-0.1066922 51.5085457),Cinema
Curzon Soho,POINT (-0.1305849 51.5127004),Cinema
Curzon Victoria,POINT (-0.1368256 51.4974876),Cinema
East Dulwich Picturehouse & Cafe,POINT (-0.07617199999999999 51.4564201),Cinema
Electric Cinema,POINT (-0.2048903 51.5155712),Cinema
Electric Cinema White City House,POINT (-0.2254695 51.5106918),Cinema
Electric Theatre,POINT (-0.1034537 51.5042871),Cinema
Everyman at The Whiteley,POINT (-0.1884812 51.5138922),Cinema
Everyman Baker Street,POINT (-0.1565296 51.5205192),Cinema
Everyman Borough Yards,POINT (-0.0922331 51.5055291),Cinema
Everyman Broadgate,POINT (-0.0846253 51.519645),Cinema
Everyman Canary Wharf,POINT (-0.0177658 51.5062028),Cinema
Everyman Chelsea,POINT (-0.1733363 51.4855354),Cinema
Everyman Hampstead,POINT (-0.1790612 51.5564587),Cinema
Everyman Kings Cross,POINT (-0.1241383 51.53738569999999),Cinema
Everyman Maida Vale,POINT (-0.1817177 51.52805069999999),Cinema
Everyman Muswell Hill,POINT (-0.1459137 51.5896477),Cinema
Everyman Screen on the Green,POINT (-0.1036783 51.5368743),Cinema
Everyman Stratford International,POINT (-0.0106596 51.54260439999999),Cinema
Finsbury Park Picturehouse,POINT (-0.1075742 51.5651512),Cinema
Genesis Cinema,POINT (-0.05112200000000001 51.5211404),Cinema
Greenwich Picturehouse,POINT (-0.0096668 51.4794877),Cinema
Hackney Picturehouse,POINT (-0.0550042 51.5446763),Cinema
Hunterian Museum,POINT (-0.1159625 51.5153551),Cinema
Lexi Cinema,POINT (-0.2225068 51.5376296),Cinema
ODEON Beckenham,POINT (-0.0312093 51.40713119999999),Cinema
ODEON Greenwich,POINT (0.0127925 51.49059219999999),Cinema
ODEON Luxe & Dine Islington,POINT (-0.1036498 51.5388668),Cinema
ODEON Luxe Acton,POINT (-0.281298 51.5257984),Cinema
ODEON Luxe Haymarket,POINT (-0.1312027 51.5095573),Cinema
ODEON Luxe Holloway,POINT (-0.1214329 51.5586166),Cinema
ODEON Luxe Leicester Square,POINT (-0.129325 51.5104854),Cinema
ODEON Luxe Putney,POINT (-0.2142387 51.4652107),Cinema
ODEON Luxe Swiss Cottage,POINT (-0.1745679 51.54251),Cinema
ODEON Luxe West End,POINT (-0.1301796 51.5099216),Cinema
ODEON Tottenham Court Rd,POINT (-0.1324275 51.5183526),Cinema
Olympic Studios,POINT (-0.2405215 51.4752289),Cinema
Peckhamplex,POINT (-0.0682969 51.47072739999999),Cinema
Picturehouse Central,POINT (-0.1336792 51.5106645),Cinema
Regent Street Cinema,POINT (-0.1428726 51.5168378),Cinema
Rio Cinema,POINT (-0.0755165 51.5496766),Cinema
Ritzy Cinema and Cafe,POINT (-0.115018 51.4612025),Cinema
The Chiswick Cinema,POINT (-0.2510323 51.4930793),Cinema
The Cinema in The Power Station,POINT (-0.1447024 51.4813402),Cinema
The Gate Picturehouse,POINT (-0.1971972 51.5087493),Cinema
Vue Cinema Eltham,POINT (0.056795 51.4506497),Cinema
Vue Cinema London - Finchley Road,POINT (-0.181876 51.548198),Cinema
Vue Cinema London - Fulham Broadway,POINT (-0.194538 51.480692),Cinema
Vue Cinema London - Islington,POINT (-0.1059779 51.53420699999999),Cinema
Vue Cinema London - North Finchley,POINT (-0.17338 51.60390899999999),Cinema
Vue Cinema London - Piccadilly,POINT (-0.134201 51.508855),Cinema
Vue Cinema London - Shepherd's bush,POINT (-0.21867 51.503236),Cinema
Vue Cinema London - West End (Leicester Square),POINT (-0.129496 51.511515),Cinema
Vue Cinema London - Westfield (Shepherd's Bush),POINT (-0.221698 51.50786),Cinema
Vue Cinema London - Westfield Stratford,POINT (-0.006416 51.543674),Cinema
Vue Cinema London - Wood Green,POINT (-0.1086684 51.5968938),Cinema
West Norwood Picturehouse,POINT (-0.1031715 51.4330661),Cinema
Everyman Belsize Park,POINT (-0.1656591 51.5507749),Cinema
ODEON Streatham,POINT (-0.1286103 51.4321656),Cinema
Vue Cinema Eltham,POINT (0.056795 51.4506497),Cinema
